City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Pasni,PK,81.19,clear sky,25.2631,63.471,Kashmiri Hotal
3,Sao Filipe,CV,75.54,clear sky,14.8961,-24.4956,Hotel Xaguate
15,San Policarpo,PH,77.52,overcast clouds,12.1791,125.5072,Agapita M. Nicart
19,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
21,Hue,VN,82.51,few clouds,16.4667,107.6,Saigon Morin Hotel
25,Axim,GH,77.47,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
33,Atuona,PF,78.3,broken clouds,-9.8,-139.0333,Villa Enata
43,Palmer,US,76.21,scattered clouds,42.1584,-72.3287,Wedgewood Motel
47,Faanui,PF,79.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Corozal,CO,83.3,scattered clouds,9.3151,-75.2928,Hotel Perla De La Sabana
57,Bambanglipuro,ID,75.88,broken clouds,-7.95,110.2833,Puri Brata
59,Victoria,HK,85.17,overcast clouds,22.2855,114.1577,Mini Central
64,Itoman,JP,80.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
69,Hobyo,SO,78.26,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
70,Singaraja,ID,79.86,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
76,Salinas,US,82.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
77,Cabo San Lucas,MX,89.91,clear sky,22.8909,-109.9124,Vista Roof Restaurant
81,Adre,TD,85.35,few clouds,13.4667,22.2,
83,Bengkulu,ID,76.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Pinos,MX,77.4,overcast clouds,22.3,-101.5667,Hotel El Meson Del Conde
88,Manavalakurichi,IN,78.62,overcast clouds,8.1333,77.3,Jebinrio home
89,Yellowknife,CA,75.72,broken clouds,62.456,-114.3525,The Explorer Hotel
100,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
110,Kinablangan,PH,77.45,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
113,Farrukhnagar,IN,78.51,heavy intensity rain,17.0778,78.2011,Musthafa Five Star Kiranam
114,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
115,Semporna,MY,78.98,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
121,Itarema,BR,77.16,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
122,Anori,BR,75.34,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
