City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Korla,CN,41.7597,86.1469,70.86,13,0,8.39,clear sky
1,Albany,US,42.6001,-73.9662,74.57,35,11,8.25,few clouds
2,Pasni,PK,25.2631,63.471,81.19,86,0,11.12,clear sky
3,Sao Filipe,CV,14.8961,-24.4956,75.54,73,2,12.35,clear sky
4,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,9.22,broken clouds
5,Hirado,JP,33.3597,129.5531,65.39,87,94,25.7,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,33.73,84,96,12.62,overcast clouds
7,Ilulissat,GL,69.2167,-51.1,42.82,42,9,21.85,clear sky
8,Pyaozerskiy,RU,65.8333,31.1667,45.72,65,46,8.03,scattered clouds
9,Payakumbuh,ID,-0.2202,100.6308,69.28,98,100,2.15,overcast clouds
10,Xining,CN,36.6167,101.7667,48.54,79,100,3.89,overcast clouds
11,Tongchuan,CN,35.0806,109.0897,71.58,29,62,5.39,broken clouds
12,Cape Town,ZA,-33.9258,18.4232,65.12,69,0,3.44,clear sky
13,Campbell River,CA,50.0163,-125.2446,65.73,72,75,9.22,broken clouds
14,Mecca,SA,21.4267,39.8261,91.04,18,0,4.21,clear sky
15,San Policarpo,PH,12.1791,125.5072,77.52,85,94,2.86,overcast clouds
16,Phalaborwa,ZA,-23.943,31.1411,60.08,81,6,9.8,clear sky
17,Pechenga,RU,69.5259,31.1703,45.0,88,100,10.2,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,73.69,78,16,17.56,light rain
19,Vaini,TO,-21.2,-175.2,80.76,74,20,4.61,few clouds
20,Busselton,AU,-33.65,115.3333,54.64,73,100,9.35,overcast clouds
21,Hue,VN,16.4667,107.6,82.51,78,20,5.75,few clouds
22,Bluff,NZ,-46.6,168.3333,44.8,83,10,10.71,clear sky
23,Sumbe,AO,-11.2061,13.8437,72.45,69,70,3.74,broken clouds
24,Cherskiy,RU,68.75,161.3,40.39,61,46,17.63,scattered clouds
25,Axim,GH,4.8699,-2.2405,77.47,87,99,10.09,light rain
26,Tiksi,RU,71.6872,128.8694,48.04,73,66,4.25,broken clouds
27,Tuatapere,NZ,-46.1333,167.6833,47.91,87,22,5.39,few clouds
28,Mataura,NZ,-46.1927,168.8643,43.48,83,0,3.2,clear sky
29,Hobart,AU,-42.8794,147.3294,51.26,68,75,9.22,broken clouds
30,Zalesovo,RU,53.9939,84.7431,44.58,80,100,5.97,overcast clouds
31,Ogawa,JP,36.05,139.2667,58.17,96,100,7.0,heavy intensity rain
32,Lasa,IT,46.6166,10.7002,59.88,93,100,6.22,overcast clouds
33,Atuona,PF,-9.8,-139.0333,78.3,72,56,15.21,broken clouds
34,Saint George,US,37.1041,-113.5841,97.43,14,0,12.66,clear sky
35,Verin,ES,41.9415,-7.4381,59.56,79,76,4.79,broken clouds
36,Vallenar,CL,-28.5708,-70.7581,62.98,39,100,4.47,overcast clouds
37,Tuktoyaktuk,CA,69.4541,-133.0374,32.11,73,39,7.96,scattered clouds
38,Opuwo,NA,-18.0607,13.84,58.64,37,100,9.95,overcast clouds
39,Dikson,RU,73.5069,80.5464,29.52,98,100,6.87,light snow
40,Khvalynsk,RU,52.4906,48.1058,60.84,82,99,4.47,light rain
41,Gornoye Loo,RU,43.7129,39.6049,65.98,94,31,2.55,scattered clouds
42,Yar-Sale,RU,66.8333,70.8333,37.47,49,70,4.05,broken clouds
43,Palmer,US,42.1584,-72.3287,76.21,35,40,8.05,scattered clouds
44,Richards Bay,ZA,-28.783,32.0377,65.91,73,90,7.09,overcast clouds
45,Saint-Philippe,RE,-21.3585,55.7679,69.39,72,41,10.29,scattered clouds
46,Pecos,US,31.4229,-103.4932,101.23,5,0,20.71,clear sky
47,Faanui,PF,-16.4833,-151.75,79.66,76,67,13.18,light rain
48,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,97,8.01,overcast clouds
49,Spencer,US,43.1414,-95.1444,68.11,83,75,11.5,broken clouds
50,Punta Arenas,CL,-53.15,-70.9167,48.31,49,0,18.41,clear sky
51,Bilma,NE,18.6853,12.9164,92.21,13,80,8.97,broken clouds
52,Ibipeba,BR,-11.6408,-42.0111,69.48,63,86,8.14,overcast clouds
53,Clyde River,CA,70.4692,-68.5914,32.23,93,0,5.75,clear sky
54,Cabra,ES,37.4725,-4.4421,71.74,29,0,3.33,clear sky
55,Berlevag,NO,70.8578,29.0864,42.6,87,100,8.05,overcast clouds
56,Corozal,CO,9.3151,-75.2928,83.3,81,28,6.71,scattered clouds
57,Bambanglipuro,ID,-7.95,110.2833,75.88,90,84,3.06,broken clouds
58,Ust-Nera,RU,64.5667,143.2,66.65,48,46,6.53,scattered clouds
59,Victoria,HK,22.2855,114.1577,85.17,87,96,8.99,overcast clouds
60,Port Alfred,ZA,-33.5906,26.891,57.18,89,10,15.82,clear sky
61,Caravelas,BR,-17.7125,-39.2481,69.31,72,68,9.06,broken clouds
62,Pevek,RU,69.7008,170.3133,32.68,81,49,7.02,scattered clouds
63,Iqaluit,CA,63.7506,-68.5145,55.13,44,0,13.8,clear sky
64,Itoman,JP,26.1247,127.6694,80.98,94,75,18.41,broken clouds
65,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,81,20,16.11,few clouds
66,Chuy,UY,-33.6971,-53.4616,59.13,88,100,2.01,overcast clouds
67,Westerly,US,41.3776,-71.8273,74.66,54,0,6.91,clear sky
68,Manjacaze,MZ,-24.7117,33.8828,66.49,76,5,9.24,clear sky
69,Hobyo,SO,5.3505,48.5268,78.26,84,87,25.72,overcast clouds
70,Singaraja,ID,-8.112,115.0882,79.86,79,99,1.88,overcast clouds
71,Maniitsoq,GL,65.4167,-52.9,46.94,56,0,8.84,clear sky
72,Saskylakh,RU,71.9167,114.0833,34.32,63,26,10.13,scattered clouds
73,Bukama,CD,-9.2,25.85,66.63,49,10,1.88,clear sky
74,Jamestown,US,42.097,-79.2353,69.94,34,100,4.61,overcast clouds
75,Upernavik,GL,72.7868,-56.1549,31.59,72,0,10.42,clear sky
76,Salinas,US,36.6777,-121.6555,82.99,61,0,13.8,clear sky
77,Cabo San Lucas,MX,22.8909,-109.9124,89.91,40,0,10.36,clear sky
78,Talnakh,RU,69.4865,88.3972,29.21,77,26,2.06,scattered clouds
79,Saint-Pierre,RE,-21.3393,55.4781,69.48,60,0,10.36,clear sky
80,Leningradskiy,RU,69.3833,178.4167,35.22,77,95,9.04,overcast clouds
81,Adre,TD,13.4667,22.2,85.35,15,21,6.98,few clouds
82,Bonavista,CA,48.6499,-53.1147,43.63,77,55,19.1,broken clouds
83,Bengkulu,ID,-3.8004,102.2655,76.68,84,100,4.09,overcast clouds
84,Kapaa,US,22.0752,-159.319,82.38,71,75,11.5,broken clouds
85,Pinos,MX,22.3,-101.5667,77.4,19,85,13.11,overcast clouds
86,Mahebourg,MU,-20.4081,57.7,73.69,78,75,8.05,broken clouds
87,Sitka,US,57.0531,-135.33,67.89,45,75,9.22,broken clouds
88,Manavalakurichi,IN,8.1333,77.3,78.62,88,100,12.08,overcast clouds
89,Yellowknife,CA,62.456,-114.3525,75.72,25,75,17.27,broken clouds
90,Portland,US,45.5234,-122.6762,69.84,76,75,17.27,broken clouds
91,Port Augusta,AU,-32.5,137.7667,45.43,88,15,4.56,few clouds
92,San Patricio,US,28.017,-97.5169,97.52,46,0,18.07,clear sky
93,Mareeba,AU,-17.0,145.4333,70.45,94,87,1.81,overcast clouds
94,Kodiak,US,57.79,-152.4072,56.71,72,75,12.66,broken clouds
95,Brates,RO,45.8333,26.0667,61.9,95,76,1.97,broken clouds
96,Kingman,US,35.1894,-114.053,95.13,10,0,21.85,clear sky
97,Norman Wells,CA,65.282,-126.8329,48.24,57,75,4.61,broken clouds
98,Castro,BR,-24.7911,-50.0119,56.89,85,99,3.56,overcast clouds
99,Beringovskiy,RU,63.05,179.3167,47.41,65,100,5.46,overcast clouds
100,Oranjestad,AW,12.524,-70.027,84.15,74,20,26.46,few clouds
101,Shahr-E Babak,IR,30.1165,55.1186,69.62,18,0,10.36,clear sky
102,Mahajanga,MG,-15.7167,46.3167,71.62,83,75,2.3,broken clouds
103,East London,ZA,-33.0153,27.9116,61.65,77,37,11.01,scattered clouds
104,Huari,PE,-9.3333,-77.2333,50.58,68,77,3.83,light rain
105,Pabrade,LT,55.0,25.7833,56.17,92,14,2.82,few clouds
106,Halifax,CA,44.6453,-63.5724,57.52,87,99,11.01,overcast clouds
107,Anadyr,RU,64.75,177.4833,52.3,82,20,11.18,few clouds
108,Kawalu,ID,-7.3817,108.2082,72.45,92,99,1.77,overcast clouds
109,Hermanus,ZA,-34.4187,19.2345,56.8,58,21,8.32,few clouds
110,Kinablangan,PH,7.6947,126.5503,77.45,82,100,4.32,overcast clouds
111,Lebu,CL,-37.6167,-73.65,52.97,96,100,10.76,overcast clouds
112,Erzin,TR,36.9559,36.2,65.97,78,0,1.54,clear sky
