City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Elizabeth,-33.918,25.5701,61.11,81,0,9.22,ZA,2022-06-05 18:14:48
1,Batouri,4.4333,14.3667,69.42,89,90,2.73,CM,2022-06-05 18:14:49
2,Tilichiki,60.4667,166.1,42.67,91,51,5.73,RU,2022-06-05 18:14:49
3,Ushuaia,-54.8,-68.3,47.86,37,75,9.22,AR,2022-06-05 18:12:57
4,Manto,14.9167,-86.3833,78.98,71,100,1.57,HN,2022-06-05 18:14:49
5,Hilo,19.7297,-155.09,79.29,92,100,5.75,US,2022-06-05 18:14:50
6,Naze,28.3667,129.4833,76.53,86,100,22.19,JP,2022-06-05 18:14:51
7,Akyab,20.15,92.9,81.52,82,83,4.47,MM,2022-06-05 18:14:51
8,Oranjemund,-28.55,16.4333,71.6,26,2,8.68,NA,2022-06-05 18:14:51
9,Upernavik,72.7868,-56.1549,30.29,58,0,8.25,GL,2022-06-05 18:14:52
10,Bredasdorp,-34.5322,20.0403,55.89,92,51,4.47,ZA,2022-06-05 18:14:52
11,Airai,-8.9266,125.4092,58.5,93,56,2.3,TL,2022-06-05 18:14:53
12,Tuatapere,-46.1333,167.6833,45.43,92,22,5.66,NZ,2022-06-05 18:14:53
13,Penzance,50.1186,-5.5371,58.08,80,3,9.48,GB,2022-06-05 18:14:54
14,Cape Town,-33.9258,18.4232,67.37,66,0,3.0,ZA,2022-06-05 18:14:54
15,Mataura,-46.1927,168.8643,40.48,96,19,3.44,NZ,2022-06-05 18:14:54
16,Port-Gentil,-0.7193,8.7815,76.96,88,40,6.91,GA,2022-06-05 18:14:55
17,Esperance,-33.8667,121.9,54.75,70,100,8.46,AU,2022-06-05 18:14:55
18,Puerto Ayora,-0.7393,-90.3518,78.76,92,96,8.99,EC,2022-06-05 18:14:55
19,Nanortalik,60.1432,-45.2371,45.68,65,95,5.03,GL,2022-06-05 18:14:56
20,Port Alfred,-33.5906,26.891,61.63,74,10,12.24,ZA,2022-06-05 18:14:56
21,Atuona,-9.8,-139.0333,78.13,72,36,16.4,PF,2022-06-05 18:14:57
22,Castro,-24.7911,-50.0119,65.23,65,77,4.65,BR,2022-06-05 18:12:35
23,Tual,-5.6667,132.75,82.04,71,96,11.23,ID,2022-06-05 18:14:57
24,Ponta Delgada,37.7333,-25.6667,66.92,88,40,10.36,PT,2022-06-05 18:14:58
25,Luganville,-15.5333,167.1667,79.56,80,63,10.4,VU,2022-06-05 18:14:58
26,Kawalu,-7.3817,108.2082,73.35,91,100,0.87,ID,2022-06-05 18:14:58
